Timestamp,ECG Value
17596,1623
17597,1628
17598,1630
17599,1633
17600,1639
17601,1641
17602,1647
17603,1648
17604,1648
17605,1649
17606,1649
17607,1648
17608,1655
17609,1655
17610,1657
17611,1661
17612,1664
17613,1661
17614,1658
17615,1658
17616,1662
17617,1666
17618,1662
17619,1658
17620,1662
17621,1657
17622,1660
17623,1654
17624,1650
17625,1651
17626,1648
17627,1648
17628,1648
17629,1648
17630,1648
17631,1647
17632,1646
17633,1648
17634,1658
17635,1659
17636,1670
17637,1678
17638,1680
17639,1689
17640,1694
17641,1707
17642,1716
17643,1712
17644,1716
17645,1715
17646,1714
17647,1714
17648,1713
17649,1714
17650,1712
17651,1712
17652,1712
17653,1712
17654,1712
17655,1716
17656,1719
17657,1723
17658,1730
17659,1727
17660,1732
17661,1733
17662,1735
17663,1732
17664,1728
17665,1721
17666,1717
17667,1718
17668,1712
17669,1698
17670,1686
17671,1675
17672,1667
17673,1651
17674,1646
17675,1632
17676,1618
17677,1612
17678,1599
17679,1584
17680,1573
17681,1563
17682,1535
17683,1534
17684,1523
17685,1520
17686,1517
17687,1509
17688,1507
17689,1514
17690,1505
17691,1505
17692,1498
17693,1503
17694,1493
17695,1497
17696,1489
17697,1494
17698,1493
17699,1493
17700,1491
17701,1488
17702,1487
17703,1487
17704,1485
17705,1487
17706,1479
17707,1488
17708,1482
17709,1477
17710,1477
17711,1474
17712,1473
17713,1470
17714,1463
17715,1461
17716,1463
17717,1459
17718,1465
17719,1462
17720,1465
17721,1462
17722,1470
17723,1460
17724,1465
17725,1463
17726,1466
17727,1467
17728,1461
17729,1465
17730,1467
17731,1468
17732,1467
17733,1469
17734,1470
17735,1471
17736,1471
17737,1477
17738,1477
17739,1482
17740,1482
17741,1483
17742,1488
17743,1488
17744,1488
17745,1491
17746,1499
17747,1509
17748,1521
17749,1535
17750,1557
17751,1572
17752,1594
17753,1613
17754,1629
17755,1651
17756,1654
17757,1665
17758,1675
17759,1680
17760,1683
17761,1685
17762,1689
17763,1699
17764,1712
17765,1722
17766,1746
17767,1777
17768,1810
17769,1850
17770,1893
17771,1947
17772,2001
17773,2066
17774,2129
17775,2191
17776,2245
17777,2299
17778,2346
17779,2385
17780,2403
17781,2401
17782,2374
17783,2326
17784,2277
17785,2210
17786,2149
17787,2093
17788,2032
17789,1984
17790,1946
17791,1911
17792,1879
17793,1863
17794,1845
17795,1840
17796,1840
17797,1842
17798,1843
17799,1851
17800,1853
17801,1844
17802,1839
17803,1826
17804,1815
17815,1679
17816,1670
17817,1659
17818,1654
17819,1648
17820,1638
17821,1631
17822,1616
17823,1613
17824,1595
17825,1585
17826,1570
17827,1557
17828,1535
17829,1523
17830,1509
17831,1492
17832,1486
17833,1473
17834,1459
17835,1456
17836,1453
17837,1447
17838,1440
17839,1440
17840,1442
17841,1442
17842,1441
17843,1441
